OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-4202,2022-062U,2026-08-26T16:37:29.913312,15.35399660,.00009578,53.1630,346.1144,91.9825,268.1288,0,U,52848,999,23151,.325954E-4,.757E-5,0
STARLINK-4197,2022-062V,2026-08-26T11:23:05.340768,15.33553179,.00012319,53.1610,335.0528,74.1872,285.9266,0,U,52849,999,23164,.48008722E-4,.1207E-4,0
STARLINK-4187,2022-062W,2026-08-27T05:38:04.973856,15.31692114,.00010973,53.1611,341.8594,76.3790,283.7334,0,U,52850,999,23162,-.13374284E-4,-.78E-5,0
STARLINK-3809,2022-062X,2026-08-26T12:23:44.636640,15.34389396,.00010305,53.1598,330.4275,92.4041,267.7079,0,U,52851,999,23171,.11629628E-4,.17E-6,0
STARLINK-4184,2022-062Y,2026-08-26T11:29:59.668512,15.34393812,.00012093,53.1621,334.3328,65.5841,294.5288,0,U,52852,999,23165,.15245861E-4,.139E-5,0
STARLINK-4204,2022-062AA,2026-08-27T06:20:39.748416,15.35417752,.00011311,53.1618,330.8208,82.8967,277.2165,0,U,52854,999,23177,.10943473E-3,.3441E-4,0
STARLINK-4209,2022-062AB,2026-08-26T13:20:37.081536,15.31730776,.0000988,53.1617,332.9397,75.5832,284.5279,0,U,52855,999,23168,-.14791471E-3,-.4956E-4,0
STARLINK-4201,2022-062AC,2026-08-26T16:42:24.244416,15.33551341,.00011407,53.1608,333.7526,91.1266,268.9867,0,U,52856,999,23168,.47938803E-4,.1204E-4,0
STARLINK-4199,2022-062AD,2026-08-26T15:24:58.401504,15.33548872,.0000909,53.1629,334.2425,84.8324,275.2782,0,U,52857,999,23167,.49349528E-4,.1251E-4,0
STARLINK-4198,2022-062AE,2026-08-26T16:32:43.590624,15.33552136,.00016206,53.1619,333.7412,70.4652,289.6525,0,U,52858,999,23168,.10242688E-3,.2997E-4,0
STARLINK-4196,2022-062AF,2026-08-26T15:53:50.232480,15.33548174,.00011723,53.1625,333.6995,83.8534,276.2602,0,U,52859,999,23168,.30757468E-4,.639E-5,0
STARLINK-4191,2022-062AG,2026-08-26T11:24:06.936192,15.35398236,.00011239,53.1610,334.5835,83.1209,276.9922,0,U,52860,999,23165,.14224315E-4,.116E-5,0
STARLINK-4112,2022-062AH,2026-08-26T15:20:22.826112,15.31695680,.00010736,53.1603,329.5518,91.1377,268.9748,0,U,52861,999,23174,.9761023E-5,-.62E-6,0
STARLINK-4010,2022-062AJ,2026-08-26T11:38:21.662016,15.34390195,.00009243,53.1611,330.5490,79.1216,280.9891,0,U,52862,999,23171,.24768757E-4,.461E-5,0
STARLINK-4270,2022-062AK,2026-08-26T16:33:30.707136,15.33550640,.00013107,53.1618,333.3011,84.1970,275.9182,0,U,52863,999,23169,.25826857E-4,.477E-5,0
STARLINK-4267,2022-062AL,2026-08-27T05:29:20.842944,15.35403198,.00011628,53.1616,330.9157,93.5338,266.5798,0,U,52864,999,23177,.30748997E-4,.692E-5,0
STARLINK-4274,2022-062AM,2026-08-26T12:02:57.042240,15.35409165,.00012388,53.1611,334.3606,76.5185,283.5956,0,U,52865,999,23166,-.40763685E-4,-.1803E-4,0
STARLINK-4272,2022-062AN,2026-08-26T11:29:00.646080,15.33549672,.00011364,53.1612,334.8419,76.6644,283.4485,0,U,52866,999,23165,.9675984E-5,-.54E-6,0
STARLINK-4126,2022-062AP,2026-08-26T10:59:01.047264,15.34388340,.00010827,53.1605,330.6568,74.0434,286.0688,0,U,52867,999,23171,.1550327E-5,-.324E-5,0
STARLINK-4261,2022-062AQ,2026-08-26T10:56:31.087104,15.35395184,.00010825,53.1616,335.4737,97.2195,262.8931,0,U,52868,999,23164,.14856683E-4,.138E-5,0
STARLINK-4266,2022-062AR,2026-08-26T11:48:04.062816,15.34399985,.00014363,53.1609,322.3358,148.2579,211.8510,0,U,52869,999,23182,.89864551E-4,.2661E-4,0
STARLINK-4207,2022-062AT,2026-08-26T15:40:19.700256,15.34391713,.00008855,53.1610,319.9271,74.1079,286.0021,0,U,52871,999,23187,.44369172E-4,.1123E-4,0
STARLINK-4213,2022-062AU,2026-08-26T14:57:08.319744,15.31700782,.00013619,53.1603,321.0847,41.5833,318.5272,0,U,52872,999,23185,.34578778E-4,.708E-5,0
STARLINK-4211,2022-062AV,2026-08-26T14:42:46.549728,15.34385277,.00010989,53.1600,319.7614,68.2862,291.8258,0,U,52873,999,23187,.38554119E-4,.926E-5,0
STARLINK-4193,2022-062AX,2026-08-27T04:40:53.673024,15.34396419,.00013156,53.1596,317.0363,73.2004,286.9143,0,U,52875,999,23196,.32363208E-4,.717E-5,0
STARLINK-4200,2022-062AY,2026-08-26T15:23:54.720384,15.31704507,.00010737,53.1602,320.6114,77.3964,282.7158,0,U,52876,999,23186,-.4517268E-5,-.505E-5,0
STARLINK-4214,2022-062AZ,2026-08-26T11:45:08.218944,15.34388678,.00012509,53.1620,322.8363,83.2913,276.8231,0,U,52877,999,23182,.7902915E-5,-.109E-5,0
STARLINK-4171,2022-062BA,2026-08-27T06:05:35.898144,15.34392472,.00011891,53.1594,316.7342,82.1595,277.9542,0,U,52878,999,23197,.86584419E-4,.255E-4,0
STARLINK-4139,2022-062BB,2026-08-26T10:43:44.920416,15.34388223,.00016385,53.1604,320.5825,98.2403,261.8785,0,U,52879,999,23185,-.48164735E-4,-.2003E-4,0
STARLINK-4186,2022-062BC,2026-08-26T12:26:37.805568,15.34393072,.00010308,53.1606,320.2765,75.8688,284.2429,0,U,52880,999,23186,.30780063E-4,.664E-5,0
STARLINK-4181,2022-062BE,2026-08-26T13:01:26.840064,15.26754119,.00009847,53.1557,327.5342,73.4378,286.6730,0,U,52882,999,23176,.20208611E-3,.5044E-4,0
GLOBALSTAR M087,2022-064A,2026-08-27T04:34:29.571456,12.62262609,.00005111,51.9977,206.2871,90.1694,269.9231,0,U,52888,999,20010,-.92837429E-4,-.12E-5,0
PVSAT,2022-065A,2026-08-26T19:22:05.906784,14.59578429,.00099021,98.2387,17.6545,151.4350,208.7394,0,U,52894,999,22265,.64798275E-4,.261E-5,0
KSLV-II DUMMY,2022-065B,2026-08-26T19:51:54.557856,14.58700062,.0008442,98.2447,18.0900,168.4583,191.6811,0,U,52895,999,22265,.14491063E-4,.21E-6,0
STEP CUBE LAB-II,2022-065D,2026-08-27T07:35:27.143232,14.63396397,.00090636,98.2321,23.0413,154.0077,206.1581,0,U,52897,999,22190,.11269991E-3,.535E-5,0
RANDEV,2022-065E,2026-08-27T07:09:47.179872,14.63787656,.00084051,98.2307,23.4070,153.6193,206.5438,0,U,52898,999,22165,.13383162E-3,.65E-5,0
SNUGLITE-II,2022-065F,2026-08-27T05:29:10.811904,14.64459175,.00080294,98.2301,23.9770,152.5356,207.6272,0,U,52899,999,22139,.18503777E-3,.931E-5,0
MIMAN,2022-065G,2026-08-26T19:42:37.199232,14.61909263,.00080817,98.2361,20.9895,156.6055,203.5515,0,U,52900,999,22076,.10619129E-3,.484E-5,0
CMS-02 (GSAT-24),2022-067A,2026-08-27T03:07:03.424800,1.00271949,.00012699,0.0688,269.2366,10.2570,185.6662,0,U,52903,999,1532,0,-.167E-5,0
MEASAT 3D,2022-067B,2026-08-27T03:09:25.697952,1.00269406,.00009614,0.0141,304.7957,280.6749,248.7816,0,U,52904,999,1536,0,0,0
YAOGAN-35 02A,2022-068A,2026-08-26T20:33:18.613152,15.24922701,.00112959,34.9911,52.9984,354.2217,5.8367,0,U,52907,999,23268,.28787781E-3,.7327E-4,0
YAOGAN-35 02B,2022-068B,2026-08-27T06:58:42.597120,15.73533222,.00048973,34.9928,300.4956,133.2110,226.9030,0,U,52908,999,23385,.11036292E-2,.163108E-2,0
GAOFEN-12 03,2022-069A,2026-08-27T05:47:08.544768,14.80128960,.00007847,97.8171,125.2855,55.7099,304.4188,0,U,52912,999,22512,.86898077E-4,.609E-5,0
SES-22,2022-071A,2026-08-27T06:47:10.818240,1.00271134,.00012085,0.0172,146.6612,7.0402,144.6117,0,U,52933,999,823,0,0,0
DS-EO,2022-072A,2026-08-26T14:54:22.673664,15.14328422,.0004134,9.9952,16.5969,274.4991,85.4752,0,U,52935,999,22920,.20085E-3,.4619E-4,0
POEM,2022-072E,2026-08-25T15:03:10.056672,15.24773764,.00225527,9.9519,262.5152,152.7997,207.3402,0,U,52939,999,23012,.20683402E-3,.629E-4,0
WFOV (USA 332),2022-073A,2026-08-27T00:29:02.789952,1.00267558,.00029393,3.8856,77.5932,163.6436,220.5566,0,U,52940,999,1508,0,-.363E-5,0
COSMOS 2557 [GLONASS-K],2022-075A,2026-08-26T23:12:48.686688,2.13102587,.00120491,64.2522,311.9898,269.3521,90.5854,0,U,52984,999,3222,0,-.28E-6,0
STARLINK-4260,2022-076A,2026-08-27T03:29:46.979232,15.33548234,.00010527,53.1610,37.8702,83.8890,276.2232,0,U,52986,999,22872,.16169266E-4,.159E-5,0
STARLINK-4259,2022-076B,2026-08-26T18:31:11.257248,15.31721656,.00012157,53.1601,52.8937,86.9496,273.1645,0,U,52987,999,22848,.21790851E-4,.311E-5,0
STARLINK-4291,2022-076C,2026-08-25T18:01:05.943072,15.33552238,.00011817,53.1620,44.1350,83.7098,276.4039,0,U,52988,999,22851,.3381415E-4,.74E-5,0
STARLINK-4293,2022-076D,2026-08-27T08:00:01.000224,15.82319497,.00016041,53.2161,21.4814,53.4722,313.2894,0,U,52989,999,592,.21661965E-2,.482862E-2,0
STARLINK-4286,2022-076E,2026-08-26T21:53:03.261120,15.33541300,.0001707,53.1561,48.9109,81.2415,278.8780,0,U,52990,999,22855,-.37517E-4,-.1606E-4,0
STARLINK-4285,2022-076F,2026-08-26T21:51:39.930048,15.33547685,.0001226,53.1609,48.9436,89.7149,270.3994,0,U,52991,999,22855,.74412E-5,-.128E-5,0
STARLINK-4269,2022-076G,2026-08-26T18:11:03.135552,15.31707575,.00020398,53.1619,52.9608,98.7995,261.3238,0,U,52992,999,22848,-.42606722E-4,-.1688E-4,0
STARLINK-4256,2022-076J,2026-08-26T17:58:45.748704,15.34388295,.00009795,53.1603,39.0711,83.2666,276.8448,0,U,52994,999,22867,.22655938E-4,.389E-5,0
STARLINK-4296,2022-076K,2026-08-25T20:33:20.876832,15.35394512,.0001469,53.1604,43.5289,97.3385,262.7785,0,U,52995,999,22853,.11333E-4,.15E-6,0
STARLINK-4295,2022-076L,2026-08-26T21:03:54.312480,15.35398598,.00012704,53.1596,39.1920,91.2785,268.8363,0,U,52996,999,22868,.27396267E-4,.575E-5,0
STARLINK-4254,2022-076N,2026-08-26T20:54:12.830112,15.34426290,.00013862,53.1609,38.5206,85.6923,274.4238,0,U,52998,999,22869,.15506435E-3,.487E-4,0
STARLINK-4217,2022-076P,2026-08-25T21:03:06.489216,15.34384367,.00012215,53.1600,43.1491,90.9441,269.1701,0,U,52999,999,22854,.964384E-5,-.5E-6,0
STARLINK-4194,2022-076Q,2026-08-26T20:51:13.618368,15.34403805,.00008218,53.1612,38.5143,90.8631,269.2466,0,U,53000,999,22869,-.2399196E-5,-.457E-5,0
STARLINK-4190,2022-076R,2026-08-27T03:56:25.343808,15.35391797,.00013808,53.1613,37.7050,84.3127,275.8034,0,U,53001,999,22873,-.35968339E-4,-.1635E-4,0
STARLINK-4121,2022-076S,2026-08-25T11:47:45.704544,15.33551660,.00012216,53.1613,45.5981,88.7740,271.3402,0,U,53002,999,22847,.28419729E-4,.562E-5,0
STARLINK-4255,2022-076T,2026-08-27T04:03:53.952480,15.34384534,.00011568,53.1606,37.1124,90.2712,269.8424,0,U,53003,999,22873,.28164899E-4,.575E-5,0
STARLINK-4253,2022-076U,2026-08-26T18:02:14.182656,15.31707730,.00012992,53.1608,47.0368,88.0181,272.0970,0,U,53004,999,22856,.83386722E-4,.2224E-4,0
STARLINK-4288,2022-076V,2026-08-27T03:57:58.380192,15.34389394,.00012571,53.1613,37.8348,82.4766,277.6379,0,U,53005,999,22873,.64703627E-4,.181E-4,0
STARLINK-4290,2022-076W,2026-08-27T03:28:02.718624,15.35393853,.00008557,53.1673,38.3224,95.1699,264.9402,0,U,53006,999,22872,.57679259E-4,.1632E-4,0
STARLINK-4215,2022-076X,2026-08-26T17:59:33.983232,15.35401694,.00010441,53.1606,40.2869,94.0349,266.0774,0,U,53007,999,22866,.60219793E-4,.1721E-4,0
STARLINK-4275,2022-076Y,2026-08-27T03:25:39.406080,15.35403434,.00004453,53.1584,37.7218,101.5739,258.5314,0,U,53008,999,22873,.73021544E-4,.2168E-4,0
STARLINK-4277,2022-076Z,2026-08-27T08:00:01.000224,15.35356306,.0000927,53.1591,34.6755,111.8698,256.1888,0,U,53009,999,581,.20699065E-2,.72416E-3,0
STARLINK-4263,2022-076AA,2026-08-25T20:28:34.275072,15.33547376,.0001072,53.1617,43.9073,85.7441,274.3683,0,U,53010,999,22853,.25163E-5,-.29E-5,0
STARLINK-4265,2022-076AB,2026-08-27T00:00:02.000160,15.34388823,.00007567,53.1605,35.9214,61.6066,85.5998,0,U,53011,999,577,.28161167E-3,.9147E-4,0
STARLINK-4271,2022-076AC,2026-08-27T04:12:58.481568,15.31699971,.00012239,53.1620,45.0231,93.2801,266.8341,0,U,53012,999,22863,.30898507E-4,.594E-5,0
STARLINK-4177,2022-076AD,2026-08-26T19:36:42.838272,15.35397167,.00012195,53.1617,29.5566,87.3061,272.8082,0,U,53013,999,22881,-.2265E-6,-.388E-5,0
STARLINK-4183,2022-076AE,2026-08-26T18:58:36.208704,15.35404186,.00014792,53.1627,34.1523,59.1878,300.9271,0,U,53014,999,22874,.46989585E-4,.1259E-4,0
STARLINK-4262,2022-076AF,2026-08-27T08:00:01.000224,15.35374919,.00009002,53.1598,34.6679,68.0957,43.1236,0,U,53015,999,576,.18760167E-2,.65577E-3,0
STARLINK-4283,2022-076AG,2026-08-27T03:40:49.205856,15.31688617,.00001916,53.1613,30.1714,79.8913,280.2110,0,U,53016,999,22883,.13200987E-3,.3733E-4,0
STARLINK-4281,2022-076AH,2026-08-27T06:00:00.999648,15.31002324,.00008598,53.2131,0.7191,88.9569,6.1178,0,U,53017,999,600,-.13369395E-1,-.385998E-2,0
STARLINK-4279,2022-076AJ,2026-08-26T19:07:08.394816,15.26518661,.00012263,53.1942,8.7030,86.7271,273.3869,0,U,53018,999,22911,.3047561E-4,.461E-5,0
STARLINK-4282,2022-076AK,2026-08-27T06:00:00.999648,15.33519561,.00010323,53.1603,36.6509,89.7181,252.8924,0,U,53019,999,574,.11515623E-2,.37655E-3,0
STARLINK-4287,2022-076AL,2026-08-27T06:00:00.999648,15.34488526,.00013186,53.1609,35.6148,76.3177,348.6351,0,U,53020,999,579,.23843224E-1,.879369E-2,0
STARLINK-4216,2022-076AN,2026-08-26T20:43:38.881344,15.34395433,.00012512,53.1617,32.8020,82.7433,277.3712,0,U,53022,999,22877,.40889093E-4,.1005E-4,0
STARLINK-4284,2022-076AP,2026-08-27T06:00:00.999648,15.35293776,.00008038,53.1597,34.8962,68.2763,162.0195,0,U,53023,999,575,.34381349E-2,.121079E-2,0
STARLINK-4289,2022-076AQ,2026-08-27T06:00:00.999648,15.35204455,.00008326,53.1601,34.9176,78.2041,127.2707,0,U,53024,999,575,.37248147E-2,.131006E-2,0
STARLINK-4218,2022-076AR,2026-08-26T20:01:14.632032,15.33548695,.00009949,53.1611,37.0641,79.7827,280.3288,0,U,53025,999,22871,.2830522E-4,.558E-5,0
STARLINK-4119,2022-076AS,2026-08-26T19:43:19.462656,15.31700842,.00012241,53.1609,29.1253,82.2023,277.9117,0,U,53026,999,22882,.9203942E-5,-.79E-6,0
STARLINK-4158,2022-076AT,2026-08-25T10:06:00.235584,15.35399488,.00011727,53.1623,35.5795,88.1843,271.9294,0,U,53027,999,22861,.21064429E-4,.354E-5,0
STARLINK-4143,2022-076AV,2026-08-24T19:38:17.720160,15.35396538,.00009053,53.1623,34.6756,83.2912,276.8194,0,U,53029,999,22856,.21315142E-4,.363E-5,0
STARLINK-4160,2022-076AW,2026-08-25T20:50:53.449152,15.34388924,.0000982,53.1615,33.3196,94.4500,265.6615,0,U,53030,999,22868,.48427E-5,-.212E-5,0
STARLINK-4137,2022-076AX,2026-08-26T18:55:58.961568,15.35396955,.000114,53.1615,25.7701,78.5332,281.5799,0,U,53031,999,22886,.8496576E-5,-.84E-6,0
STARLINK-4115,2022-076AY,2026-08-27T00:40:59.994624,15.34561229,.00012025,53.1617,27.7987,83.0849,277.0290,0,U,53032,999,22886,-.10654108E-2,-.36385E-3,0
STARLINK-4167,2022-076AZ,2026-08-27T06:00:00.999648,15.28219446,.00013156,53.1619,26.9227,72.5453,33.7171,0,U,53033,999,584,.45165819E-2,.127701E-2,0
STARLINK-4151,2022-076BA,2026-08-26T18:54:08.442144,15.31705712,.00011063,53.1622,22.8795,90.8621,269.2507,0,U,53034,999,22890,.24446458E-4,.394E-5,0
STARLINK-4157,2022-076BB,2026-08-27T06:00:00.999648,15.21977268,.00010575,53.1589,27.2085,126.0916,233.8339,0,U,53035,999,569,.41762404E-2,.9747E-3,0
STARLINK-4155,2022-076BC,2026-08-27T06:00:00.999648,15.22365171,.00011945,53.1602,27.1847,76.8347,315.7432,0,U,53036,999,585,.42018518E-2,.99223E-3,0
STARLINK-4153,2022-076BD,2026-08-27T06:00:00.999648,15.24033017,.00012078,53.1611,26.8863,69.2564,136.9995,0,U,53037,999,588,.41249792E-2,.102392E-2,0
STARLINK-4156,2022-076BE,2026-08-27T06:00:00.999648,15.28952707,.00011467,53.1610,26.8562,111.9953,129.9881,0,U,53038,999,588,.36820244E-1,.1137013E-1,0
STARLINK-4362,2022-077A,2026-08-27T06:00:00.999648,15.22154472,.00017411,97.2850,54.4740,84.0331,339.2160,0,U,53043,999,583,.27727952E-1,.679494E-2,0
STARLINK-4350,2022-077C,2026-08-27T06:00:00.999648,15.14546605,.00015985,97.2848,55.5403,85.9078,359.2419,0,U,53045,999,583,.36546601E-1,.723927E-2,0
STARLINK-4331,2022-077D,2026-08-27T01:49:18.060672,15.10531484,.00017182,97.2851,55.4363,67.7048,292.4365,0,U,53046,999,22663,.31643558E-4,.462E-5,0
STARLINK-4352,2022-077E,2026-08-27T06:00:00.999648,15.21287267,.00028036,97.2832,54.5206,91.8406,132.9654,0,U,53047,999,573,.26738946E-2,.60166E-3,0
STARLINK-4355,2022-077F,2026-08-27T06:00:00.999648,15.14215045,.00017936,97.2848,55.5502,84.2426,30.1869,0,U,53048,999,583,.36159009E-1,.708527E-2,0
STARLINK-4345,2022-077G,2026-08-27T06:00:00.999648,15.21102302,.00024817,97.2817,54.4638,72.2057,49.3426,0,U,53049,999,578,.2465223E-2,.55128E-3,0
STARLINK-4343,2022-077H,2026-08-27T06:00:00.999648,15.16894822,.00015484,97.2845,55.5207,50.5846,10.7230,0,U,53050,999,573,.31504826E-2,.62483E-3,0
STARLINK-4336,2022-077J,2026-08-27T06:00:00.999648,15.24177279,.00021057,97.2840,54.5030,73.9359,160.0918,0,U,53051,999,573,.16737928E-2,.40874E-3,0
STARLINK-4341,2022-077K,2026-08-27T06:00:00.999648,15.20553350,.00027588,97.2863,54.4830,75.8836,77.1218,0,U,53052,999,583,.25111372E-2,.55267E-3,0
STARLINK-4337,2022-077L,2026-08-27T06:00:00.999648,15.24512702,.00014406,97.2838,54.5060,84.6942,161.0571,0,U,53053,999,578,.39054235E-1,.1047542E-1,0
STARLINK-4339,2022-077M,2026-08-27T06:00:00.999648,15.12655801,.00015145,97.2845,55.5467,56.5311,84.3851,0,U,53054,999,579,.13198563E-2,.23071E-3,0
STARLINK-4338,2022-077N,2026-08-27T05:47:01.758048,15.11181288,.00017039,97.2845,55.4833,79.2302,280.9121,0,U,53055,999,22664,.4549738E-2,.77063E-3,0
STARLINK-4314,2022-077P,2026-08-27T06:00:00.999648,15.15182123,.00017895,97.2848,55.5660,86.4370,119.6737,0,U,53056,999,578,.34361008E-1,.690497E-2,0
STARLINK-4252,2022-077Q,2026-08-27T06:00:00.999648,15.13141513,.00025173,97.2801,55.5723,96.8866,186.1214,0,U,53057,999,586,.13683183E-2,.24252E-3,0
STARLINK-4317,2022-077R,2026-08-27T06:00:00.999648,15.18529908,.00024576,97.2843,54.5234,109.7849,183.3706,0,U,53058,999,579,.29828824E-2,.61987E-3,0
STARLINK-4320,2022-077S,2026-08-27T06:00:00.999648,15.22593539,.00014893,97.2825,54.5151,84.7507,258.6397,0,U,53059,999,586,.20969584E-2,.48934E-3,0
STARLINK-4305,2022-077T,2026-08-27T06:00:00.999648,15.23586958,.00021739,97.2844,54.4841,93.7375,114.2215,0,U,53060,999,578,.42605774E-1,.1101529E-1,0
STARLINK-4308,2022-077U,2026-08-27T06:00:00.999648,15.23125758,.00016047,97.2837,54.4971,98.6319,212.5475,0,U,53061,999,586,.18468896E-2,.43741E-3,0
STARLINK-4311,2022-077V,2026-08-27T06:00:00.999648,15.18449445,.00020928,97.2862,54.5275,102.9726,233.0138,0,U,53062,999,573,.28706555E-2,.59493E-3,0
STARLINK-4307,2022-077W,2026-08-27T06:00:00.999648,15.15082623,.0001483,97.2823,55.4707,73.8358,189.7077,0,U,53063,999,587,.10348518E-2,.1934E-3,0
STARLINK-4313,2022-077X,2026-08-27T06:00:00.999648,15.13739417,.00024935,97.2829,55.5089,73.3309,72.3050,0,U,53064,999,573,.92716794E-3,.16673E-3,0
STARLINK-4312,2022-077Y,2026-08-27T06:00:00.999648,15.18164917,.00012218,97.2841,54.5337,52.9830,329.8085,0,U,53065,999,583,.29960404E-2,.61606E-3,0
STARLINK-4309,2022-077Z,2026-08-27T06:00:00.999648,15.18681875,.00027114,97.2842,54.4891,101.7800,170.9562,0,U,53066,999,579,.30440551E-2,.63551E-3,0
STARLINK-4325,2022-077AB,2026-08-27T01:47:12.532704,15.10885088,.00021273,97.2854,55.3701,73.7522,286.3942,0,U,53068,999,22662,.26329617E-2,.44007E-3,0
STARLINK-4323,2022-077AC,2026-08-27T06:00:00.999648,15.23035966,.00016376,97.2828,54.4964,104.4917,252.2345,0,U,53069,999,578,.19416438E-2,.4588E-3,0
STARLINK-4342,2022-077AD,2026-08-27T01:05:36.518784,15.10538698,.00020467,97.2836,55.4093,61.2381,298.9054,0,U,53070,999,22662,.65885662E-4,.1027E-4,0
STARLINK-4328,2022-077AE,2026-08-27T06:00:00.999648,15.13177726,.00013818,97.2858,55.5796,119.3375,272.0499,0,U,53071,999,586,.95206605E-3,.16855E-3,0
STARLINK-4344,2022-077AF,2026-08-27T06:00:00.999648,15.14873384,.00021769,97.2834,55.4901,67.2818,93.3632,0,U,53072,999,574,.11370959E-2,.21137E-3,0
STARLINK-4346,2022-077AG,2026-08-27T06:41:45.300192,15.24367236,.00060322,97.6339,70.0592,0.5554,359.5689,0,U,53073,999,22725,.61849686E-3,.15095E-3,0
STARLINK-4310,2022-077AH,2026-08-27T04:53:31.828704,16.24311792,.00038829,97.5702,66.7900,272.0090,88.0756,0,U,53074,999,22714,.53529474E-3,.1414056E-1,.2555703E-5
STARLINK-4348,2022-077AJ,2026-08-27T06:00:00.999648,15.18582068,.00023186,97.2851,54.5229,75.7606,18.2680,0,U,53075,999,568,.24071907E-2,.50004E-3,0
STARLINK-4347,2022-077AK,2026-08-27T06:00:00.999648,15.20121614,.00032928,97.2815,54.4433,103.1009,137.3037,0,U,53076,999,583,.32721117E-2,.71295E-3,0
STARLINK-4322,2022-077AM,2026-08-27T06:00:00.999648,15.17576050,.00021027,97.2847,54.5306,59.0998,33.3123,0,U,53078,999,573,.3073047E-2,.6214E-3,0
STARLINK-4327,2022-077AN,2026-08-27T01:10:35.328000,15.10754798,.00022462,97.2849,55.3625,77.2013,282.9469,0,U,53079,999,22662,.16334341E-2,.27117E-3,0
STARLINK-4330,2022-077AP,2026-08-27T06:00:00.999648,15.13385273,.00024776,97.2826,55.5499,96.1146,202.8368,0,U,53080,999,578,.13095563E-2,.23363E-3,0
STARLINK-4326,2022-077AQ,2026-08-27T06:00:00.999648,15.22979949,.00017533,97.2832,54.4970,86.1584,2.0756,0,U,53081,999,587,.15943652E-2,.37558E-3,0
STARLINK-4321,2022-077AR,2026-08-27T06:00:00.999648,15.22872135,.0001637,97.2843,54.4603,80.1177,253.6318,0,U,53082,999,582,.29239324E-1,.73587E-2,0
STARLINK-4251,2022-077AS,2026-08-27T06:00:00.999648,15.13259702,.00015878,97.2860,55.4787,114.4067,177.9877,0,U,53083,999,578,.12444336E-2,.22116E-3,0
STARLINK-4319,2022-077AT,2026-08-27T06:00:00.999648,15.13925885,.00017259,97.2845,55.5363,86.1027,281.7809,0,U,53084,999,578,.37056692E-1,.721221E-2,0
STARLINK-4324,2022-077AU,2026-08-27T06:00:00.999648,15.13390120,.00027705,97.2817,55.4667,85.6614,137.4456,0,U,53085,999,578,.14382893E-2,.25678E-3,0
STARLINK-4318,2022-077AV,2026-08-27T06:00:00.999648,15.14904895,.00016054,97.2847,54.5236,84.5207,51.9282,0,U,53086,999,578,.35803551E-1,.715759E-2,0
STARLINK-4333,2022-077AX,2026-08-27T06:00:00.999648,15.20971692,.00013279,97.2827,54.4349,101.3898,218.7731,0,U,53088,999,578,.27094712E-2,.60407E-3,0
TIANLIAN 2-03,2022-078A,2026-08-27T04:29:03.059808,1.00271800,.00010192,0.8472,77.7772,116.5968,218.8941,0,U,53100,999,1525,0,.71E-6,0
LARES-2,2022-080A,2026-08-25T08:23:52.031328,6.38965261,.00054976,70.1492,281.6033,320.7405,39.3056,0,U,53105,999,9608,0,.13E-6,0
GREENCUBE (IO-117),2022-080E,2026-08-26T05:17:45.519072,6.42583682,.0009234,70.1264,273.8902,274.2004,85.7601,0,U,53109,999,9656,0,-.3E-7,0
SUPERVIEW NEO-2 01,2022-082A,2026-08-27T06:05:32.556192,15.24504756,.00017356,97.3937,248.2904,89.1852,270.9584,0,U,53128,999,22903,.22820727E-3,.554E-4,0
SUPERVIEW NEO-2 02,2022-082C,2026-08-27T06:39:07.318656,15.24501236,.00016913,97.3941,248.3690,89.1475,270.9956,0,U,53130,999,22904,.14570304E-4,.288E-5,0
STARLINK-4150,2022-083C,2026-08-27T00:00:02.000160,15.34388857,.0002404,53.1614,120.1433,65.5990,310.0927,0,U,53134,999,593,.37688841E-3,.12374E-3,0
STARLINK-4023,2022-083D,2026-08-25T16:33:09.807840,15.34385564,.00010998,53.1590,124.0306,79.8287,280.2840,0,U,53135,999,22787,.10243242E-3,.3085E-4,0
STARLINK-4152,2022-083E,2026-08-25T21:52:58.307808,15.35402115,.00012965,53.1612,125.4277,105.2201,254.8945,0,U,53136,999,22787,.4176741E-5,-.235E-5,0
STARLINK-4145,2022-083F,2026-08-26T16:06:23.706144,15.35398324,.00009815,53.1595,122.4226,93.9221,266.1894,0,U,53137,999,22699,.41204919E-4,.1057E-4,0
STARLINK-4141,2022-083G,2026-08-26T17:00:30.279456,15.31704779,.00011632,53.1604,119.2536,82.0437,278.0697,0,U,53138,999,22781,.520435E-4,.125E-4,0
STARLINK-4185,2022-083H,2026-08-27T00:11:47.812128,15.34390021,.00011299,53.1609,123.8907,85.0361,275.0771,0,U,53139,999,22700,.10224847E-4,-.31E-6,0
STARLINK-4170,2022-083J,2026-08-26T00:14:29.388768,15.35397289,.00014292,53.1612,125.4818,88.6658,271.4509,0,U,53140,999,22689,.199048E-4,.314E-5,0
