OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
USA 115 (MILSTAR-1 2),1995-060A,2026-08-27T07:08:32.222688,1.00274171,.00067263,14.0978,3.2040,146.1183,203.3965,0,U,23712,999,3359,0,-.198E-5,0
POLAR,1996-013A,2026-08-26T03:05:57.606144,1.29845824,.65416988,79.9563,226.2138,206.6811,94.6813,0,U,23802,999,14576,0,.238E-5,0
INMARSAT 3-F1,1996-020A,2026-08-27T03:34:38.701056,0.99997285,.00060908,10.7460,45.9591,134.6971,39.7147,0,U,23839,999,11096,0,.67E-6,0
USA 119,1996-029A,2026-08-26T17:55:18.881184,13.46474455,.0854677,63.3201,7.3846,50.3164,317.0119,0,U,23893,999,11477,.14302516E-3,.792E-5,0
JAS-2 (FO-29),1996-046B,2026-08-27T03:19:16.827744,13.53277295,.03487952,98.5185,78.2847,272.3286,83.7967,0,U,24278,999,48276,.47587091E-4,.9E-7,0
INMARSAT 3-F2,1996-053A,2026-08-27T01:22:35.943744,0.99975159,.00057904,10.0131,53.1946,98.5008,281.1489,0,U,24307,999,10963,0,-.47E-6,0
INMARSAT 3-F3,1996-070A,2026-08-26T18:02:13.813728,0.99998436,.00050118,10.4675,48.9532,133.8532,34.8685,0,U,24674,999,10861,0,-.239E-5,0
NAVSTAR 43 (USA 132),1997-035A,2026-08-27T00:00:11.984544,2.00564291,.01053994,56.0339,95.8056,58.5094,302.6158,0,U,24876,999,21337,0,.28E-6,0
FORTE,1997-047A,2026-08-27T06:20:37.511520,14.27968755,.00221466,69.9517,213.4713,189.0031,171.0698,0,U,24920,999,50883,.7453564E-4,.127E-5,0
USA 134,1997-065A,2026-08-26T22:46:04.020096,1.00272829,.0001651,12.8671,21.1737,281.8516,261.6367,0,U,25019,999,3366,0,-.61E-6,0
