OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
COLIBRI-S (RS67S),2024-199M,2026-09-08T21:23:57.680448,15.51065293,.00071171,97.2829,126.6450,352.3272,7.7870,0,U,61746,999,15037,.45534717E-3,.26477E-3,0
HORS 3 (RS81S),2024-199U,2026-09-08T21:52:03.626112,15.61037566,.00041108,97.2824,129.7162,0.2581,359.8678,0,U,61753,999,15059,.617416E-3,.52033E-3,0
HORS 4 (RS82S),2024-199V,2026-09-08T22:26:51.708480,15.68635388,.00024902,97.2752,131.6390,359.4512,0.6747,0,U,61754,999,15073,.73038836E-3,.83438E-3,0
SIT-2086,2024-199AF,2026-09-08T20:41:38.915808,15.59137506,.00039071,97.2778,129.8510,334.4000,25.7063,0,U,61764,999,14744,.65099911E-3,.51036E-3,0
ALTAIR (RS65S),2024-199AW,2026-09-08T22:13:38.799264,15.38429415,.001255,97.2896,120.7518,13.3669,346.7906,0,U,61779,999,14998,.34090163E-3,.1288E-3,0
ASRTU-1 (AO-123),2024-199AY,2026-09-08T22:20:33.073440,15.36768420,.00138468,97.2865,119.8530,15.8963,344.2714,0,U,61781,999,14678,.23337654E-3,.8329E-4,0
SAMSAT-IONOSPHERE (RS75S),2024-199BB,2026-09-08T21:08:36.345408,15.65807784,.00050786,97.2776,130.1473,351.0856,9.0313,0,U,61784,999,15062,.78644249E-3,.80177E-3,0
RTU MIREA 1 (RS51S),2024-199BC,2026-09-08T21:51:32.487552,15.72198036,.00036138,97.2759,131.5929,350.8253,9.2944,0,U,61785,999,14757,.87545661E-3,.116423E-2,0
LASARSAT,2024-247Q,2026-09-08T18:02:05.825184,15.51610963,.00082071,44.9719,150.8106,161.0201,199.0998,0,U,62391,999,9627,.71274239E-3,.43214E-3,0
CROCUBE,2024-247T,2026-09-08T18:05:01.303584,15.54423557,.00088628,44.9699,146.4685,173.2225,186.8789,0,U,62394,999,9632,.77924956E-3,.52462E-3,0
TEVEL2-4,2025-052D,2026-09-08T16:47:49.874784,15.37339008,.00036597,97.3778,148.3408,130.9271,229.2291,0,U,63213,999,8293,.5705236E-3,.2083E-3,0
TEVEL2-5,2025-052E,2026-09-08T15:58:53.707296,15.37116982,.00035343,97.3776,148.2281,131.8022,228.3525,0,U,63214,999,8292,.58828583E-3,.21328E-3,0
TEVEL2-6,2025-052F,2026-09-08T16:19:20.904384,15.37086764,.00034532,97.3779,148.2276,132.1864,227.9674,0,U,63215,999,8292,.58420854E-3,.21159E-3,0
TEVEL2-1,2025-052H,2026-09-08T16:13:01.544448,15.36450889,.00031873,97.3753,147.7413,143.6305,216.5156,0,U,63217,999,8290,.58238893E-3,.20663E-3,0
TEVEL2-3,2025-052J,2026-09-07T16:33:28.111680,15.36486645,.00029012,97.3759,146.7876,142.5725,217.5722,0,U,63218,999,8275,.42936509E-3,.15219E-3,0
TEVEL2-2,2025-052K,2026-09-08T16:12:33.171552,15.36464967,.00031984,97.3755,147.7449,144.1611,215.9848,0,U,63219,999,8290,.58552531E-3,.20785E-3,0
OTP-2,2025-052AB,2026-09-08T15:39:35.271648,15.24965715,.00047775,97.3742,142.8416,213.9980,146.0952,0,U,63235,999,8258,.33762696E-3,.835E-4,0
TEVEL2-9,2025-052AD,2026-09-08T16:49:36.174432,15.34261901,.0005362,97.3815,146.9518,182.3227,177.7992,0,U,63237,999,8282,.5388029E-3,.1782E-3,0
TEVEL2-7,2025-052AE,2026-09-08T22:55:52.771296,15.33911367,.00053153,97.3815,147.0828,182.7614,177.3600,0,U,63238,999,8285,.55069401E-3,.18015E-3,0
TEVEL2-8,2025-052AF,2026-09-08T23:08:47.349024,15.33901101,.00053727,97.3815,147.0664,182.8696,177.2517,0,U,63239,999,8285,.54180122E-3,.17716E-3,0
INNOSAT 16 (RS92S7),2025-155C,2026-09-08T22:37:20.176032,15.26257902,.00084508,97.4659,218.8969,246.4125,113.6227,0,U,64878,999,9344,.22081868E-3,.5653E-4,0
GEOSCAN 6 (RS92S6),2025-155D,2026-09-08T20:19:15.951360,15.31614155,.00057051,97.4645,220.8553,229.5766,130.4978,0,U,64879,999,9356,.35634307E-3,.10808E-3,0
GEOSCAN 1 (RS92S1),2025-155E,2026-09-08T22:38:40.824384,15.32341253,.00055726,97.4640,221.1815,228.5627,131.5137,0,U,64880,999,9359,.36078073E-3,.11196E-3,0
239ALFEROV (RS61S),2025-155F,2026-09-08T20:16:04.114848,15.35059657,.00050431,97.4635,221.9557,224.0595,136.0247,0,U,64881,999,9363,.47395342E-3,.16062E-3,0
GEOSCAN 2 (RS92S2),2025-155Q,2026-09-08T22:09:29.395296,15.32586713,.00053731,97.4639,221.3453,210.0243,150.0691,0,U,64890,999,9360,.37439636E-3,.11712E-3,0
GEOSCAN 5 (RS92S5),2025-155R,2026-09-08T22:44:19.014720,15.35354142,.00039413,97.4629,222.2278,227.4201,132.6710,0,U,64891,999,9366,.44568077E-3,.15238E-3,0
GEOSCAN 4 (RS92S4),2025-155S,2026-09-08T22:07:48.545760,15.35549742,.0003815,97.4634,222.2784,226.8549,133.2376,0,U,64892,999,9366,.45628518E-3,.15701E-3,0
GEOSCAN 3 (RS92S3),2025-155T,2026-09-08T22:19:33.091104,15.38084154,.00036235,97.4618,222.9908,222.0624,138.0343,0,U,64893,999,9371,.55440159E-3,.20731E-3,0
INNOSAT 3 (RS92S0),2025-155U,2026-09-08T22:56:01.173696,15.50065211,.00027122,97.4555,225.8748,181.9341,178.1900,0,U,64894,999,9391,.8981398E-3,.50608E-3,0
KNACKSAT-2,1998-067XZ,2026-09-08T22:25:57.308448,15.68078276,.00076208,51.6238,230.7709,137.0757,223.0836,0,U,67683,999,3338,.66122777E-3,.75227E-3,0
MARINA,2026-156BD,2026-09-08T18:49:30.788832,14.92143603,.00062922,97.7452,151.1970,313.7704,46.2993,0,U,69920,999,946,.16218653E-3,.1594E-4,0
JAMX01 (JING'AN DREAM STAR),2026-195A,2026-09-08T18:29:34.507392,15.09322777,.00126923,97.5394,325.3292,201.7309,158.3383,0,U,100465,999,220,.28300105E-3,.4458E-4,0
